,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,10133 - Legal Counsel - Grade Distribution Percentages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Fall 2022 Courses Offered at Purdue - West Lafayette having more than 10 Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Run Date: Feb 8, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EM Analysis and Reporting,,,,Page Number: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,A,,A-,,A+,,AU,,B,,B-,,B+,,C,,C-,,C+,,D,,D-,,D+,,E,,F,,I,,N,,NS,,P,,PI,,S,,SI,,U,,W,,WF,,WIP,,WN,,WU,,,
Subject,Subject Desc,Course Number,Title,Academic Period,Academic Period Desc,Section,CRN,Instructor,Students,% of Total,Students,% of Total,Students,% of Total,Students,% of Total,Students,% of Total,Students,% of Total,Students,% of Total,Students,% of Total,Students,% of Total,Students,% of Total,Students,% of Total,Students,% of Total,Students,% of Total,Students,% of Total,Students,% of Total,Students,% of Total,Students,% of Total,Students,% of Total,Students,% of Total,Students,% of Total,Students,% of Total,Students,% of Total,Students,% of Total,Students,% of Total,Students,% of Total,Students,% of Total,Students,% of Total,Students,% of Total,Students,% of Total
AAE,AAE-Aero & Astro Engineering,20000,Ugrad Sophomore Seminar,202310,Fall 2022,001,17446,"Marais, Karen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,97.3%,,,10,2.4%,1,0.2%,,,,,,,,,,
,,20300,Aeromechanics I,202310,Fall 2022,002,67031,"Arnas Martinez, David",35,30.4%,,,,,,,49,42.6%,,,,,21,18.3%,,,,,5,4.3%,,,,,,,3,2.6%,,,,,,,,,,,,,,,,,2,1.7%,,,,,,,,,,
,,,,,,003,13363,"Hassan, Hashim",48,37.5%,,,,,,,61,47.7%,,,,,13,10.2%,,,,,2,1.6%,,,,,,,4,3.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,004,27568,"Cunningham, Thomas F.",36,32.7%,,,,,,,52,47.3%,,,,,19,17.3%,,,,,3,2.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,005,20540,"Cunningham, Thomas F.",10,19.2%,,,,,,,26,50.0%,,,,,12,23.1%,,,,,3,5.8%,,,,,,,,,,,,,,,,,,,,,,,,,1,1.9%,,,,,,,,,,
,,20400,Aeromechanics II,202310,Fall 2022,001,10002,"Tallman, Tyler N.",14,14.9%,10,10.6%,7,7.4%,,,12,12.8%,6,6.4%,17,18.1%,5,5.3%,6,6.4%,11,11.7%,3,3.2%,,,1,1.1%,,,2,2.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20401,Aeromechanics II Lab,202310,Fall 2022,001,10006,"Ravva, Saranya",10,83.3%,,,,,,,2,16.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,002,10004,"Sun, Yao",13,92.9%,,,,,,,1,7.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,003,10003,"Samson, Tarith G.",20,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,004,10005,"Ravva, Saranya",13,86.7%,,,,,,,1,6.7%,,,,,,,,,,,1,6.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,006,14924,"Samson, Tarith G.",18,94.7%,,,,,,,1,5.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,008,14345,"Sun, Yao",19,95.0%,,,,,,,,,,,,,1,5.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,011,22745,"Samson, Tarith G.",14,93.3%,,,,,,,,,,,,,1,6.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25100,Intro Aerospace Design,202310,Fall 2022,002,57302,"Marais, Karen",30,25.0%,50,41.7%,3,2.5%,,,10,8.3%,5,4.2%,14,11.7%,,,1,0.8%,1,0.8%,1,0.8%,1,0.8%,1,0.8%,,,,,,,,,,,,,,,,,,,,,3,2.5%,,,,,,,,,,
,,,,,,003,11910,"Pourpoint, Timothee L.",31,21.4%,63,43.4%,6,4.1%,,,10,6.9%,6,4.1%,19,13.1%,1,0.7%,1,0.7%,4,2.8%,1,0.7%,,,1,0.7%,,,,,,,,,,,,,,,,,,,,,2,1.4%,,,,,,,,,,
,,30000,Ugrad Junior Seminar,202310,Fall 2022,001,56743,"Marais, Karen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262,98.5%,,,4,1.5%,,,,,,,,,,,,
,,30100,Sig Anly For Aero Engr,202310,Fall 2022,001,10010,"Goppert, James M.",51,33.1%,23,14.9%,16,10.4%,,,12,7.8%,6,3.9%,33,21.4%,4,2.6%,2,1.3%,2,1.3%,,,2,1.3%,2,1.3%,,,1,0.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,002,13304,"Li, Husheng",8,11.1%,14,19.4%,7,9.7%,,,12,16.7%,6,8.3%,11,15.3%,2,2.8%,1,1.4%,3,4.2%,1,1.4%,,,2,2.8%,,,5,6.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33300,Fluid Mechanics,202310,Fall 2022,002,11528,"Cai, Wenjie",22,19.3%,4,3.5%,7,6.1%,,,22,19.3%,17,14.9%,19,16.7%,4,3.5%,5,4.4%,10,8.8%,,,,,,,,,4,3.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,003,13884,"Jewell, Joseph S.",25,16.8%,23,15.4%,5,3.4%,,,26,17.4%,15,10.1%,30,20.1%,6,4.0%,3,2.0%,13,8.7%,,,,,,,,,2,1.3%,,,,,,,,,,,,,,,,,1,0.7%,,,,,,,,,,
,,33301,Fluid Mechanics Lab,202310,Fall 2022,001,10012,"Lu, Zehao",6,37.5%,,,7,43.8%,,,,,,,1,6.3%,1,6.3%,,,1,6.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,002,10013,"Anilkumar, Aditya",7,43.8%,,,9,56.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,003,10014,"Gajjar, Pallavi J.",7,43.8%,1,6.3%,8,50.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,004,10015,"Wright, Jack K.",5,31.3%,4,25.0%,6,37.5%,,,,,,,1,6.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,005,10016,"Wright, Jack K.",8,50.0%,1,6.3%,7,43.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,008,10019,"Kosloske, Triston A.",7,43.8%,1,6.3%,7,43.8%,,,,,,,1,6.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,010,10021,"Guo, Charles Z.",4,25.0%,4,25.0%,7,43.8%,,,,,,,1,6.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,015,14928,"Guo, Charles Z.",6,37.5%,,,9,56.3%,,,,,,,1,6.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,016,19021,"Gajjar, Pallavi J.",7,43.8%,,,8,50.0%,,,1,6.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,018,15764,"Anilkumar, Aditya",5,41.7%,2,16.7%,2,16.7%,,,3,25.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,019,15766,"Gajjar, Pallavi J.",4,25.0%,4,25.0%,4,25.0%,,,,,1,6.3%,2,12.5%,1,6.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,020,19906,"Lu, Zehao",6,37.5%,3,18.8%,4,25.0%,,,1,6.3%,,,1,6.3%,,,,,,,,,,,,,,,1,6.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,021,14331,"Kosloske, Triston A.",5,31.3%,2,12.5%,4,25.0%,,,1,6.3%,1,6.3%,2,12.5%,,,,,1,6.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,022,14333,"Rhodes, Colin W.",5,31.3%,2,12.5%,8,50.0%,,,,,,,1,6.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,023,14334,"Rhodes, Colin W.",6,40.0%,3,20.0%,4,26.7%,,,,,,,1,6.7%,1,6.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,025,25688,"Rhodes, Colin W.",6,37.5%,2,12.5%,6,37.5%,,,1,6.3%,,,,,,,,,1,6.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33400,Aerodynamics,202310,Fall 2022,001,10023,"Macheret, Sergey O.",23,24.7%,10,10.8%,28,30.1%,1,1.1%,4,4.3%,6,6.5%,11,11.8%,2,2.2%,1,1.1%,,,2,2.2%,,,,,,,3,3.2%,,,,,,,,,,,,,,,,,2,2.2%,,,,,,,,,,
,,33800,Thermal Sciences,202310,Fall 2022,001,12052,"Wang, Haifeng",6,20.7%,4,13.8%,1,3.4%,,,2,6.9%,3,10.3%,6,20.7%,3,10.3%,,,3,10.3%,,,,,,,,,1,3.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33900,Aerospace Propulsion,202310,Fall 2022,001,14973,"Heister, Stephen D.",9,10.7%,10,11.9%,,,,,15,17.9%,24,28.6%,8,9.5%,5,6.0%,,,10,11.9%,,,,,,,,,1,1.2%,,,,,,,,,,,,,,,,,2,2.4%,,,,,,,,,,
,,34000,Dynamics & Vibrations,202310,Fall 2022,001,10031,"Longuski, James M.",48,57.1%,,,1,1.2%,,,23,27.4%,,,,,8,9.5%,,,,,2,2.4%,,,,,,,,,,,,,,,,,,,,,,,,,2,2.4%,,,,,,,,,,
,,,,,,002,30161,"LeGrand, Keith A.",33,51.6%,,,2,3.1%,,,19,29.7%,,,,,5,7.8%,,,,,3,4.7%,,,,,,,2,3.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,35103,Aerospace Systems Design,202310,Fall 2022,001,14824,"Leifsson, Leifur T.",63,59.4%,18,17.0%,14,13.2%,,,3,2.8%,,,6,5.7%,1,0.9%,,,,,,,,,,,,,1,0.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,35200,Structural Analysis I,202310,Fall 2022,003,62157,"Hassan, Hashim",32,21.2%,,,,,,,87,57.6%,,,,,25,16.6%,,,,,3,2.0%,,,,,,,3,2.0%,,,,,,,,,,,,,,,,,1,0.7%,,,,,,,,,,
,,,,,,004,15811,"Doyle, James F.",30,37.0%,,,,,,,36,44.4%,,,,,10,12.3%,,,,,3,3.7%,,,,,,,2,2.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,36400,Control System Anly,202310,Fall 2022,001,10036,"Mou, Shaoshuai",68,51.1%,,,26,19.5%,,,30,22.6%,,,,,7,5.3%,,,,,1,0.8%,,,,,,,,,,,,,,,,,,,,,,,,,1,0.8%,,,,,,,,,,
,,36401,Control Systems Lab,202310,Fall 2022,001,10037,"Nguyen, Ellen M.",12,85.7%,,,,,,,2,14.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,003,10039,"Mishra, Ritik K.",10,71.4%,,,,,,,2,14.3%,,,,,2,14.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,004,10040,"Mishra, Ritik K.",8,66.7%,,,,,,,2,16.7%,,,,,2,16.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
