,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5772 - Legal Counsel - S22 Grade Dist Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Spring 2022 Courses Offered at Purdue - West Lafayette having more than 10 Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Run Date: Sep 8, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EM Analysis and Reporting,,,,Page Number: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,A,A-,A+,AU,B,B-,B+,C,C-,C+,D,D-,D+,E,F,I,N,P,PI,S,SI,U,W,WF,WN,
Subject,Subject Desc,Course Number,Title,Academic Period,Academic Period Desc,Section,CRN,Instructor,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total
AAE,AAE-Aero & Astro Engineering,20000,Ugrad Sophomore Seminar,202220,Spring 2022,001,26216,"Marais, Karen",,,,,,,,,,,,,,,,,,,,100.0%,,,,,,
,,20300,Aeromechanics I,202220,Spring 2022,001,10001,"Hassan, Hashim",51.5%,,,,37.9%,,,7.6%,,,,,,,,,,,,,,,3.0%,,,
,,,,,,002,10018,"Power, Rolfe J.",41.7%,,,,40.3%,,,11.1%,,,,,,,5.6%,,,,,,,,1.4%,,,
,,20400,Aeromechanics II,202220,Spring 2022,002,42578,"Paulson, Shane C.",21.8%,,2.6%,,30.8%,,16.7%,9.0%,,5.1%,2.6%,,5.1%,,5.1%,,,,,,,,1.3%,,,
,,,,,,003,13056,"Zhang, Dianyun",25.0%,,,,30.0%,,15.0%,15.0%,,8.3%,5.0%,,,,1.7%,,,,,,,,,,,
,,,,,,004,23944,"Hassan, Hashim",25.7%,,3.0%,,30.7%,,14.9%,10.9%,,8.9%,1.0%,,1.0%,,2.0%,1.0%,,,,,,,1.0%,,,
