,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Course Grade Distribution - Summer 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Summer 2022 Courses Offered at Purdue - West Lafayette having more than 10 Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Run Date: Sep 16, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,
EM Analysis and Reporting,,,,Page Number: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,A,A-,A+,AU,B,B-,B+,C,C-,C+,D,D-,D+,E,F,I,N,P,PI,S,SI,U,W,WF
Subject,Subject Desc,Course Number,Title,Academic Period,Academic Period Desc,Section,CRN,Instructor,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total
AAE,AAE-Aero & Astro Engineering,20300,Aeromechanics I,202230,Summer 2022,002,32008,"Burton, Alexander B.",17.4%,,13.0%,,13.0%,,,,8.7%,4.3%,4.3%,,4.3%,,17.4%,,,,,,,,13.0%,4.3%
,,20400,Aeromechanics II,202230,Summer 2022,003,32009,"Hassan, Hashim",42.9%,,4.1%,,24.5%,,16.3%,4.1%,,4.1%,2.0%,,,,,,,,,,,,2.0%,
,,33300,Fluid Mechanics,202230,Summer 2022,003,32011,"Cai, Wenjie",25.0%,6.3%,,,12.5%,12.5%,12.5%,12.5%,,,,,,,12.5%,,,,,,,,6.3%,
,,33400,Aerodynamics,202230,Summer 2022,002,32012,"Bane, Sally P.",21.4%,21.4%,3.6%,,17.9%,3.6%,21.4%,,3.6%,3.6%,,,,,3.6%,,,,,,,,,
,,35200,Structural Analysis I,202230,Summer 2022,003,32013,"Hassan, Hashim",52.6%,,21.1%,,21.1%,,2.6%,,,,,,,,2.6%,,,,,,,,,
,,41800,Zero-Gravity Flt Exper,202230,Summer 2022,001,22551,"Collicott, Steven H.",100.0%,,,,,,,,,,,,,,,,,,,,,,,
,,64200,Grad Professional Prac,202230,Summer 2022,001,10016,"Blaisdell, Gregory A.",,,,,,,,,,,,,,,,,,,,100.0%,,,,
,,69900,Research PhD Thesis,202230,Summer 2022,006,10041,"Hwang, Inseok",,,,,,,,,,,,,,,,,,,,90.9%,,9.1%,,
ABE,ABE-Agri & Biol Engineering,69900,Research PhD Thesis,202230,Summer 2022,035,25253,"Clase, Kari L.",,,,,,,,,,,,,,,,,,,,100.0%,,,,
AD,AD-Art & Design,25500,Art Appreciation,202230,Summer 2022,001,10499,"Poer, Sara J.",80.0%,2.5%,,,,2.5%,2.5%,2.5%,,2.5%,,,,,5.0%,,,,,,,,2.5%,
AGEC,AGEC-Agricultural Economics,21700,Economics,202230,Summer 2022,001,16998,"Hua, Yizhou",2.6%,,84.2%,,2.6%,,2.6%,,,5.3%,,,,,,,,,,,,,2.6%,
,,33100,Prin Of Industrial Selling,202230,Summer 2022,001,10278,"Cochran, Amy L.",8.8%,11.8%,,,11.8%,2.9%,17.6%,2.9%,,8.8%,2.9%,,2.9%,,14.7%,,,,,,,,14.7%,
AGR,AGR-Agriculture,20100,Com Across Culture,202230,Summer 2022,001,20905,"Holgate, Horane A.",30.6%,16.3%,8.2%,,6.1%,8.2%,2.0%,8.2%,2.0%,2.0%,,,,,2.0%,,,,,,,,14.3%,
,,29000,PC MASI,202230,Summer 2022,001,32020,"Wilson, Christine A.",,,,,,,,,,,,,,,,,,100.0%,,,,,,
AGRY,AGRY-Agronomy,32000,Genetics,202230,Summer 2022,001,12021,"Rainey, Katherine M.",11.5%,5.8%,3.8%,,11.5%,3.8%,17.3%,11.5%,5.8%,11.5%,1.9%,,1.9%,,3.8%,,,,,,,,9.6%,
AMST,AMST-American Studies,10100,America And The World,202230,Summer 2022,001,11171,"Villaver, Melvin E.",,,94.1%,,,,,,,,,,,,,,,,,,,,5.9%,
ANSC,ANSC-Animal Sciences,22100,Princ Of Animal Nutr,202230,Summer 2022,004,18175,"Forsyth, Dale M.",6.3%,12.5%,6.3%,,,,,,,,,,,,,75.0%,,,,,,,,
,,23000,Physiolo/Domestic Anim,202230,Summer 2022,001,31681,"Cabot, Ryan A.",4.2%,,4.2%,,8.3%,8.3%,,,12.5%,12.5%,8.3%,8.3%,,,25.0%,,,,,,,,8.3%,
,,25500,Principles Of Animal Products,202230,Summer 2022,001,31412,"Zuelly, Stacy M.",7.7%,30.8%,15.4%,,7.7%,,7.7%,15.4%,,7.7%,,,,,,,,,,,,,7.7%,
,,32400,Appld Animal Nutrition,202230,Summer 2022,001,13041,"Taylor, Emily G.",36.4%,4.5%,4.5%,,9.1%,,4.5%,4.5%,4.5%,4.5%,,,,,22.7%,,,,,,,,4.5%,
,,33100,Horses In Culture/Society,202230,Summer 2022,002,32288,"Brady, Colleen M.",27.8%,,13.9%,,2.8%,13.9%,16.7%,2.8%,,8.3%,2.8%,,2.8%,,8.3%,,,,,,,,,
ANTH,ANTH-Anthropology,10000,Being Human: Intro To Anth,202230,Summer 2022,001,22294,"Christopher, Lauren",58.3%,2.8%,,,13.9%,,5.6%,2.8%,2.8%,,,,2.8%,,2.8%,,,5.6%,,,,,2.8%,
,,,,,,002,12688,"Smith, Bonnie K.",33.3%,21.4%,11.9%,,19.0%,2.4%,9.5%,,,,,,,,,,,2.4%,,,,,,
,,20400,Human Origins,202230,Summer 2022,001,11346,"Guilbault, Kari A.",30.8%,7.7%,34.6%,,,15.4%,11.5%,,,,,,,,,,,,,,,,,
,,20500,Human Cultural Diversity,202230,Summer 2022,002,11771,"Miller, Valerie T.",62.5%,4.2%,8.3%,,12.5%,,4.2%,,,4.2%,,,,,,,,,,,,,4.2%,
,,,,,,003,12673,"Christodoulaki, Kalliopi M.",21.9%,28.1%,3.1%,,6.3%,6.3%,9.4%,3.1%,3.1%,6.3%,,6.3%,,,3.1%,,,,,,,,3.1%,
,,,,,,Y01,19545,"Aulds, Meredith N.",7.7%,,53.8%,,,7.7%,7.7%,,,7.7%,,,,,15.4%,,,,,,,,,
,,21000,Technology And Culture,202230,Summer 2022,001,25770,"Miller, Valerie T.",31.6%,10.5%,5.3%,,10.5%,5.3%,,10.5%,5.3%,,15.8%,,,,5.3%,,,,,,,,,
,,34000,Global Health,202230,Summer 2022,001,11890,"Smith, Bonnie K.",17.1%,20.0%,8.6%,,20.0%,5.7%,8.6%,5.7%,,2.9%,2.9%,,,,,2.9%,,,,,,,5.7%,
,,,,,,002,12689,"Aulds, Meredith N.",17.4%,8.7%,73.9%,,,,,,,,,,,,,,,,,,,,,
,,,,,,003,31651,"Christopher, Lauren",6.3%,25.0%,31.3%,,31.3%,,,,,,,,,,,,,6.3%,,,,,,
,,42800,Fld Method Archaeology,202230,Summer 2022,001,31647,"Cooper, Harold K.",91.7%,,,,,,,,,,,,,,8.3%,,,,,,,,,
