,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Legal Counsel - Grade Distribution Percentages Only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Fall 2023 Courses Offered at Purdue - West Lafayette having more than 10 Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Run Date: Jun 24, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDA+A,,,Page Number: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,Subject Desc,Course Number,Title,Academic Period,Academic Period Desc,Section,CRN,Instructor,A,A-,A+,AU,B,B-,B+,C,C-,C+,D,D-,D+,E,F,I,N,NS,P,PI,S,SI,U,W, 
AAE,AAE-Aero & Astro Engineering,20000,Ugrad Sophomore Seminar,202410,Fall 2023,1,17446,"Marais, Karen", , , , , , , , , , , , , , , , , , , , ,97.70%,0.30%,2.10%, , 
,,20300,Aeromechanics I,202410,Fall 2023,2,67031,"Hassan, Hashim",8.10%,19.20%,2.00%, ,19.20%,13.10%,13.10%,5.10%,4.00%,7.10%,3.00%, ,2.00%, ,3.00%, , , , , , , , ,1.00%, 
,,,,,,3,13363,"Hassan, Hashim",8.30%,15.50%,2.40%, ,15.50%,15.50%,17.90%,7.10%,7.10%,7.10%, ,1.20%,1.20%, , , , , , , , , , ,1.20%, 
,,,,,,4,27568,"De Camargo Branco, Danilo",5.30%,12.30%,1.80%, ,19.30%,14.00%,17.50%,19.30%, ,8.80%,1.80%, , , , , , , , , , , , , , 
,,,,,,5,20540,"Agyei, Ronald F.",8.40%,16.90%, , ,14.50%,15.70%,12.00%,9.60%,4.80%,7.20%,2.40%, ,2.40%, ,3.60%, ,1.20%, , , , , , ,1.20%, 
,,,,,,6,24644,"Agyei, Ronald F.",9.50%,4.80%, , ,28.60%,9.50%,23.80%,9.50%,9.50%, , , , , ,4.80%, , , , , , , , , , 
,,20400,Aeromechanics II,202410,Fall 2023,1,10002,"Tallman, Tyler N.",11.90%,13.10%,11.90%, ,14.30%,3.60%,17.90%,7.10%,3.60%,3.60%,4.80%,1.20%,2.40%, ,4.80%, , , , , , , , , , 
,,20401,Aeromechanics II Lab,202410,Fall 2023,8,14345,"Sun, Yao",61.50%,15.40%,15.40%, ,7.70%, , , , , , , , , , , , , , , , , , , , 
,,,,,,13,17203,"Meka, Sai Krishna",100.00%, , , , , , , , , , , , , , , , , , , , , , , , 
,,25100,Intro Aerospace Design,202410,Fall 2023,2,57302,"De Camargo Branco, Danilo",31.30%,37.50%,3.10%, ,6.30%,2.10%,16.70%,2.10%, , , , , , , , , , , , , , , ,1.00%, 
,,,,,,3,11910,"De Camargo Branco, Danilo",30.60%,37.10%,1.60%, ,11.30%,1.60%,12.90%,1.60%, , , , , , ,1.60%, , , , , , , , ,1.60%, 
,,,,,,4,25083,"Cunningham, Thomas F.",26.70%,35.00%,13.30%, ,3.30%,1.70%,18.30%, , , , , , , , , , , , , , , , ,1.70%, 
,,,,,,5,25085,"Cunningham, Thomas F.",28.60%,26.20%,7.10%, ,9.50%,2.40%,19.00%,2.40%, , , , , , , , , , , , , , , ,4.80%, 
,,30000,Ugrad Junior Seminar,202410,Fall 2023,1,56743,"Marais, Karen", , , , , , , , , , , , , , , , , , , , ,95.30%, ,4.40%,0.30%, 
,,30100,Sig Anly For Aero Engr,202410,Fall 2023,1,10010,"Sun, Dengfeng",21.10%,21.10%,25.00%, ,10.50%,5.30%,9.20%,2.60%, ,1.30%, ,1.30%, , ,2.60%, , , , , , , , , , 
,,,,,,2,13304,"Goppert, James M.",23.80%,11.10%,8.70%, ,14.30%,7.90%,18.30%,4.00%,2.40%,1.60%,0.80%,0.80%, , ,4.00%, , , , , , , , ,2.40%, 
,,,,,,3,14759,"Li, Husheng",32.60%,20.00%,13.70%, ,5.30%,5.30%,11.60%,3.20%, ,2.10%,1.10%,1.10%,2.10%, , , , , , , , , , ,2.10%, 
,,,Sig Anly For Aero Engr-Honors,202410,Fall 2023,1,10010,"Sun, Dengfeng", , , , , , ,100.00%, , , , , , , , , , , , , , , , , , 
,,,,,,2,13304,"Goppert, James M.",75.00%, , , , , ,25.00%, , , , , , , , , , , , , , , , , , 
,,33300,Fluid Mechanics,202410,Fall 2023,2,11528,"Maeda, Kazuki",4.40%,13.30%,2.20%, ,22.20%,11.10%,6.70%,6.70%,14.40%,14.40%,1.10%,1.10%,2.20%, , , , , , , , , , , , 
,,,,,,3,13884,"Jewell, Joseph S.",12.30%,9.00%,3.30%, ,18.00%,9.80%,21.30%,6.60%,4.90%,9.80%, ,1.60%,0.80%, ,0.80%, , , , , , , , ,1.60%, 
,,,,,,4,14762,"Canino, James V.",10.20%,17.80%,3.40%, ,16.90%,9.30%,18.60%,4.20%,5.10%,9.30%,0.80%,0.80%,1.70%, ,1.70%, , , , , , , , , , 
,,33301,Fluid Mechanics Lab,202410,Fall 2023,1,10012,"Anilkumar, Aditya",30.80%,7.70%,61.50%, , , , , , , , , , , , , , , , , , , , , , 
,,,,,,2,10013,"Velu, Dileepan",57.10%,7.10%,28.60%, ,7.10%, , , , , , , , , , , , , , , , , , , , 
,,,,,,3,10014,"Gai, Tianyu",50.00%, ,50.00%, , , , , , , , , , , , , , , , , , , , , , 
,,,,,,4,10015,"Goilo, Samuel R.",26.70%, ,66.70%, ,6.70%, , , , , , , , , , , , , , , , , , , , 
,,,,,,5,10016,"Velu, Dileepan",7.10%,7.10%,85.70%, , , , , , , , , , , , , , , , , , , , , , 
,,,,,,8,10019,"Lu, Zehao",46.20%, ,38.50%, , , ,15.40%, , , , , , , , , , , , , , , , , , 
,,,,,,10,10021,"Velu, Dileepan",71.40%,21.40%,7.10%, , , , , , , , , , , , , , , , , , , , , , 
,,,,,,15,14928,"Gai, Tianyu",71.40%,14.30%,14.30%, , , , , , , , , , , , , , , , , , , , , , 
,,,,,,16,19021,"Lu, Zehao",35.70%,7.10%,50.00%, , , ,7.10%, , , , , , , , , , , , , , , , , , 
,,,,,,17,19022,"Pati, Biswaranjan",57.10%, ,42.90%, , , , , , , , , , , , , , , , , , , , , , 
,,,,,,18,15764,"Anilkumar, Aditya",14.30%, ,64.30%, , , ,7.10%, ,7.10%,7.10%, , , , , , , , , , , , , , , 
,,,,,,19,15766,"Moy, Chandler J.",46.70%,6.70%,40.00%, , ,6.70%, , , , , , , , , , , , , , , , , , , 
,,,,,,20,19906,"Anilkumar, Aditya",42.90%,7.10%,50.00%, , , , , , , , , , , , , , , , , , , , , , 
,,,,,,21,14331,"Manikam Bhoopathy, Saron",38.50%, ,61.50%, , , , , , , , , , , , , , , , , , , , , , 
,,,,,,22,17236,"Pati, Biswaranjan",28.60%, ,57.10%, , , , , , ,7.10%, , , , , , , , , , , , , ,7.10%, 
,,,,,,23,17237,"Goilo, Samuel R.",35.70%,21.40%,35.70%, ,7.10%, , , , , , , , , , , , , , , , , , , , 
,,,,,,24,17239,"Pati, Biswaranjan",35.70%,14.30%,42.90%, , , ,7.10%, , , , , , , , , , , , , , , , , , 
,,,,,,25,17240,"Manikam Bhoopathy, Saron",42.90%, ,57.10%, , , , , , , , , , , , , , , , , , , , , , 
,,,,,,26,17241,"Haver, Samuel G.",21.40%, ,71.40%, , , ,7.10%, , , , , , , , , , , , , , , , , , 
,,,,,,27,17242,"Manikam Bhoopathy, Saron",35.70%,14.30%,50.00%, , , , , , , , , , , , , , , , , , , , , , 
,,,,,,28,17243,"Bigelow, Tristan J.",21.40%,7.10%,71.40%, , , , , , , , , , , , , , , , , , , , , , 
,,,,,,29,17245,"Bigelow, Tristan J.",21.40%, ,78.60%, , , , , , , , , , , , , , , , , , , , , , 
,,,,,,30,24750,"Goilo, Samuel R.",7.10%,21.40%,57.10%, ,7.10%, ,7.10%, , , , , , , , , , , , , , , , , , 
,,,,,,31,24751,"Gai, Tianyu",35.70%,7.10%,50.00%, , , ,7.10%, , , , , , , , , , , , , , , , , , 
,,33400,Aerodynamics,202410,Fall 2023,1,10023,"Canino, James V.",29.30%,8.00%,4.00%, ,12.00%,5.30%,6.70%,6.70%,5.30%,5.30%,4.00%,1.30%,2.70%, ,6.70%,1.30%, , , , , , , ,1.30%, 
,,,,,,2,25073,"Canino, James V.",32.30%,9.70%,9.70%, ,6.50%,9.70%,3.20%,12.90%, , ,3.20%, , , ,6.50%, , , , , , , , ,6.50%, 
,,33800,Thermal Sciences,202410,Fall 2023,1,12052,"Wang, Haifeng",12.00%,16.00%,8.00%, ,12.00%, ,24.00%,4.00%,4.00%,16.00%, , , , , , , , , , , , , ,4.00%, 
,,33900,Aerospace Propulsion,202410,Fall 2023,1,14973,"Heister, Stephen D.",14.30%,18.40%, , ,13.30%,13.30%,15.30%,3.10%,3.10%,7.10%,4.10%, , , ,4.10%,1.00%, , , , , , , ,3.10%, 
,,34000,Dynamics & Vibrations,202410,Fall 2023,1,10031,"Frueh, Carolin E.",20.90%,16.50%,2.20%, ,19.80%,5.50%,14.30%,4.40%,1.10%,7.70%,2.20%, ,1.10%, ,1.10%, , , , , , , , ,3.30%, 
,,,,,,2,30161,"Arnas Martinez, David",16.30%, , , ,29.30%, , ,30.40%, , ,16.30%, , , ,3.30%, , , , , , , , ,4.30%, 
,,,Dynamics & Vibrations-Honors,202410,Fall 2023,2,30161,"Arnas Martinez, David",50.00%, , , ,50.00%, , , , , , , , , , , , , , , , , , , , 
,,35103,Aerospace Systems Design,202410,Fall 2023,1,14824,"Leifsson, Leifur T.",19.20%,33.30%, , ,19.20%,4.00%,15.20%,1.00%,1.00%,3.00%,1.00%, , , ,2.00%, , , , , , , , ,1.00%, 
,,35200,Structural Analysis I,202410,Fall 2023,3,62157,"Yu, Wenbin",3.60%,7.30%, , ,19.10%,14.50%,14.50%,8.20%,13.60%,10.90%, , ,6.40%, ,0.90%, , , , , , , , ,0.90%, 
,,,,,,4,15811,"Agyei, Ronald F.",1.80%,7.10%,0.90%,0.90%,12.50%,14.30%,14.30%,12.50%,6.30%,16.10%,5.40%,2.70%,1.80%, ,3.60%, , , , , , , , , , 
,,,,,,5,14934,"Hassan, Hashim",2.60%,12.80%, , ,17.90%,18.80%,9.40%,9.40%,6.00%,13.70%,1.70%,0.90%,2.60%, ,3.40%,0.90%, , , , , , , , , 
,,36400,Control System Anly,202410,Fall 2023,1,10036,"Hwang, Inseok",15.90%,3.20%, , ,33.30%,1.60%, ,30.20%,3.20%, ,9.50%, , , ,1.60%, , , , , , , , ,1.60%, 
,,,,,,2,14760,"Hwang, Inseok",19.40%,6.90%, , ,40.30%,2.80%, ,23.60%, , ,4.20%, , , ,1.40%, , , , , , , , ,1.40%, 
,,36401,Control Systems Lab,202410,Fall 2023,1,10037,"Choi, Yooseung",75.00%, , , ,25.00%, , , , , , , , , , , , , , , , , , , , 
,,,,,,3,10039,"Hoyos, Jose D.",91.70%, , , ,8.30%, , , , , , , , , , , , , , , , , , , , 
,,,,,,4,10040,"Choi, Yooseung",75.00%, , , ,18.80%, , , , , , , , , ,6.30%, , , , , , , , , , 
,,,,,,5,10041,"Mishra, Ritik K.",78.60%, , , ,21.40%, , , , , , , , , , , , , , , , , , , , 
,,,,,,6,10042,"Mishra, Ritik K.",86.70%, , , ,13.30%, , , , , , , , , , , , , , , , , , , , 
,,,,,,7,10043,"Mishra, Ritik K.",75.00%, , , ,25.00%, , , , , , , , , , , , , , , , , , , , 
,,,,,,10,10046,"Hoyos, Jose D.",80.00%, , , ,20.00%, , , , , , , , , , , , , , , , , , , , 
,,,,,,12,64712,"Gutierrez Valdes, Andres",75.00%, , , ,25.00%, , , , , , , , , , , , , , , , , , , , 
,,,,,,13,64732,"Choi, Yooseung",75.00%, , , ,25.00%, , , , , , , , , , , , , , , , , , , , 
,,,,,,14,19722,"Sailor, Nathaniel P.",75.00%, , , ,18.80%, , , , , , , , , , , , , , , , , , ,6.30%, 
,,,,,,15,19724,"Sailor, Nathaniel P.",62.50%, , , ,25.00%, , ,6.30%, , , , , , , , , , , , , , , ,6.30%, 
,,,,,,17,16210,"Sailor, Nathaniel P.",68.80%, , , ,25.00%, , ,6.30%, , , , , , , , , , , , , , , , , 
,,,,,,18,26261,"Gutierrez Valdes, Andres",75.00%, , , ,25.00%, , , , , , , , , , , , , , , , , , , , 
,,39699,Prof Practice Internship,202410,Fall 2023,1,10431,"Gurk, Amanda L.", , , , , , , , , , , , , , , , , , , , ,95.20%,4.80%, , , 
,,40000,Ugrad Senior Seminar,202410,Fall 2023,1,59072,"Crossley, William A.",69.30%, ,2.70%, ,22.00%, , ,2.70%, , ,1.30%, , , ,0.70%, , , , , , , , ,1.30%, 
,,41200,Intro Comp Fluid Dyn,202410,Fall 2023,1,10053,"Blaisdell, Gregory A.",17.90%,23.10%,3.80%,2.60%,12.80%,1.30%,19.20%,1.30%,2.60%,5.10%,1.30%, , , , , , , , , , , , ,9.00%, 
,,41600,Viscous Flows,202410,Fall 2023,1,19131,"Shih, Tom I.",26.70%,13.30%,6.70%,6.70%,20.00%,6.70%,13.30%, , , , , , , , , , , , , , , , ,6.70%, 
,,41800,Zero-Gravity Flt Exper,202410,Fall 2023,1,18910,"Collicott, Steven H.",69.60%,16.10%, , ,8.90%, ,5.40%, , , , , , , , , , , , , , , , , , 
,,42100,Flight Dynam & Control,202410,Fall 2023,1,12540,"Dai, Ran",11.90%,25.40%,16.40%, ,14.90%,1.50%,13.40%,1.50%,1.50%,6.00%,1.50%, ,4.50%, ,1.50%, , , , , , , , , , 
,,,,,,2,14761,"Corless, Martin",47.40%, ,7.90%, ,28.90%, , ,15.80%, , , , , , , , , , , , , , , , , 
,,43900,Rocket Propulsion,202410,Fall 2023,1,10058,"Heister, Stephen D.",28.90%,32.00%, , ,12.40%,9.30%,15.50%,1.00%, , , , , , , , , , , , , , , ,1.00%, 
,,44000,Spacecraft Att Dynam,202410,Fall 2023,1,20531,"Oguri, Kenshiro",15.20%, ,27.60%,1.00%,20.00%, , ,9.50%, , ,10.50%, , , ,11.40%, , , , , , , , ,4.80%, 
,,45000,Spacecraft Design,202410,Fall 2023,2,63827,"Garrison, James L.",49.20%,1.60%, , ,1.60%,16.40%,31.10%, , , , , , , , , , , , , , , , , , 
,,45100,Aircraft Design,202410,Fall 2023,5,64139,"Leifsson, Leifur T.",19.40%,54.80%, , ,12.90%, ,12.90%, , , , , , , , , , , , , , , , , , 
,,49000,TracSat DBT,202410,Fall 2023,1,23154,"Shashurin, Alexey",33.30%, ,66.70%, , , , , , , , , , , , , , , , , , , , , , 
