,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Legal Counsel Grade Distribution Report by Percentage of Student Receiving Grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Spring 2023 Courses Offered at Purdue - West Lafayette having more than 10 Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Run Date: Jun 26, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EM Analysis and Reporting,,,Page Number: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,Subject Desc,Course Number,Title,Academic Period,Academic Period Desc,Section,CRN,Instructor,A,A-,A+,AU,B,B-,B+,C,C-,C+,D,D-,D+,E,F,I,N,NS,P,PI,S,SI,U,W,WF,WN,
AAE,AAE-Aero & Astro Engineering,20000,Ugrad Sophomore Seminar,202320,Spring 2023,001,26216,"Marais, Karen",,,,,,,,,,,,,,,,,,,,,97.2%,,2.8%,,,,
,,20300,Aeromechanics I,202320,Spring 2023,001,10001,"Hassan, Hashim",14.3%,,,,28.6%,,,28.6%,,,10.2%,,,,14.3%,,,,,,,,,4.1%,,,
,,,,,,002,10018,"Cunningham, Thomas F.",27.3%,,,,27.3%,,,31.8%,,,13.6%,,,,,,,,,,,,,,,,
,,20400,Aeromechanics II,202320,Spring 2023,002,42578,"Zhang, Dianyun",21.2%,,4.0%,,24.2%,,18.2%,10.1%,,18.2%,1.0%,,1.0%,,2.0%,,,,,,,,,,,,
,,,,,,003,13056,"Hassan, Hashim",36.0%,,7.0%,,19.0%,,25.0%,4.0%,,6.0%,,,1.0%,,1.0%,1.0%,,,,,,,,,,,
,,,,,,004,23944,"De Camargo Branco, Danilo",21.0%,,3.0%,,25.0%,,22.0%,12.0%,,11.0%,2.0%,,3.0%,,1.0%,,,,,,,,,,,,
,,,,,,005,15208,"De Camargo Branco, Danilo",15.1%,,,,26.7%,,20.9%,14.0%,,11.6%,4.7%,,4.7%,,2.3%,,,,,,,,,,,,
,,20401,Aeromechanics II Lab,202320,Spring 2023,001,10003,"Mishra, Ritik K.",96.0%,,,,4.0%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,002,10004,"Vajja, Jaya Vikeswara Rao",83.3%,,,,8.3%,,,4.2%,,,,,,,4.2%,,,,,,,,,,,,
,,,,,,006,10008,"Mishra, Ritik K.",100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,009,10011,"Ravva, Saranya",88.0%,,,,8.0%,,,4.0%,,,,,,,,,,,,,,,,,,,
,,,,,,011,37250,"Samson, Tarith G.",60.0%,4.0%,36.0%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,013,43648,"Sun, Yao",84.0%,,,,8.0%,,,4.0%,,,,,,,,,,,,,,,,4.0%,,,
,,,,,,014,43649,"Fretti, Gregory L.",100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,015,47686,"O'Meara, Joshua P.",100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,016,55436,"Hu, Hanyao",96.0%,,,,4.0%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,017,18954,"Fretti, Gregory L.",92.0%,,,,8.0%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,018,18957,"Zhou, Shijun",96.0%,,,,4.0%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,019,23081,"Lokhande, Monish M.",100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,021,26753,"Zhou, Shijun",68.0%,,,,28.0%,,,4.0%,,,,,,,,,,,,,,,,,,,
,,,,,,022,26755,"Bhattacharjee, Priyankar",95.2%,,,,4.8%,,,,,,,,,,,,,,,,,,,,,,
